user_input,reference_contexts,reference
Arch 301 ve Arch 302 derslerinin kültürel miras açısından temel hedefleri nelerdir?,"['Course: ARCH302\nDepartment: This course belongs to DEPARTMENT OF ARCHITECTURE.\nObjective: \xa0 The following objectives are common to Arch 301 and 302 studios, which can be given in either of the terms (depending on the organization of studio trips). Acquisition of knowledge, attitudes and skills (*) required to carry out a design project with increased complexity of program, structural system and contextual issues. Specifically:  (Knowledge) Building up of culture and repertoire for the analysis and design of housing with mixed-use schemes, innovative structures and multifunctional public buildings.   (Skills) Improvement of skills in architectural planning, construction and presentation techniques; advanced proficiency in oral, visual and written mediums for communication of design ideas. (Attitudes) Awareness development for the cultural heritage and sites of natural and historical significance; acquaintance with the legal and ethical aspects of working in such contexts.\xa0  \nContent:  Analysis and design of buildings in relation to their urban context and structural form. Term projects include housing settlements, new buildings in historical environments and large span structures, with emphases on programmatic complexity, spatial variety and architectonic expression. ', 'Course: ARCH401\nDepartment: This course belongs to DEPARTMENT OF ARCHITECTURE.\nObjective: Development critical skills and competency in situating and negociating significantly complex architectural and urban programs in local and/or international contexts. Acquiring knowledge of contemporary approaches, methodologies, strategies and tools used in architectural and urban design. Gaining knowledge of the historical, theoretical, natural and cultural assets of design contexts, and developing awareness with respect to environmental, social, economic sustainability. Contribution to the student’s development of a personal position and increasing autonomy in design work. Representation of multiple approaches to architectural design in the project outcomes. \nContent:  Advanced architectural design involving considerations of complex urban situations. ']","Arch 301 ve Arch 302 derslerinin ana hedefleri, artan karmaşıklıkta tasarım projelerini gerçekleştirmek için gerekli bilgi, tutum ve becerilerin edinilmesidir. Özellikle, karma kullanımlı şemalar, yenilikçi yapılar ve çok işlevli kamu binaları ile konut analizi ve tasarımı için bir kültür ve repertuar oluşturulmasına odaklanmaktadırlar. Ayrıca, kültürel miras ve doğal ve tarihi öneme sahip alanlar için farkındalık geliştirilmesine, bu tür bağlamlarda çalışmanın yasal ve etik yönlerinin anlaşılmasına da vurgu yapılmaktadır."
ARCH 301 ve 302'nin kültürel miras için ana hedefi nedir?,"['Course: ARCH302\nDepartment: This course belongs to DEPARTMENT OF ARCHITECTURE.\nObjective: \xa0 The following objectives are common to Arch 301 and 302 studios, which can be given in either of the terms (depending on the organization of studio trips). Acquisition of knowledge, attitudes and skills (*) required to carry out a design project with increased complexity of program, structural system and contextual issues. Specifically:  (Knowledge) Building up of culture and repertoire for the analysis and design of housing with mixed-use schemes, innovative structures and multifunctional public buildings.   (Skills) Improvement of skills in architectural planning, construction and presentation techniques; advanced proficiency in oral, visual and written mediums for communication of design ideas. (Attitudes) Awareness development for the cultural heritage and sites of natural and historical significance; acquaintance with the legal and ethical aspects of working in such contexts.\xa0  \nContent:  Analysis and design of buildings in relation to their urban context and structural form. Term projects include housing settlements, new buildings in historical environments and large span structures, with emphases on programmatic complexity, spatial variety and architectonic expression. ', 'Course: ARCH312\nDepartment: This course belongs to DEPARTMENT OF ARCHITECTURE.\nObjective: Arch 312 Principles of City Planning and Urban Design aims at introducing students with\xa0  the fundamental theories on the city and\xa0the evolution of urban form and urban space, the basic concepts of city planning, theories and approaches of urban design, recent approaches to urbanism, tools to observe, perceive and document selected urban spaces, and develop a critical approach towards urban phenomena.  \xa0 \xa0 \xa0 \nContent:  An introductory survey about the city and urban studies, that covers fundamental theories and approaches on city planning and urban design. The course develops along two lines:1.Definition of the city, its development, analysis of the internal structure and components, activity patterns, social structure and corresponding physical form. 2. Introduction to city planning and urban design: historical background and recent trends in urbanism, planning in different scales, urban form, visual analysis, activities and social dimension in urban design. ']","Arch 301 ve 302'nin ana hedefi, özellikle kültürel mirasla ilgili olarak artan karmaşıklıkta tasarım projelerini gerçekleştirmek için gerekli bilgi, tutum ve becerileri kazanmaktır. Bu, karma kullanımlı şemalar ve yenilikçi yapılarla konut analizi ve tasarımı için bir kültür ve repertuvar oluşturmayı içerirken, mimari planlama ve sunum tekniklerinde becerilerin geliştirilmesine de odaklanılmaktadır. Ayrıca, böyle bağlamlarda çalışmanın yasal ve etik yönlerini anlamanın yanı sıra, kültürel miras ve doğal ve tarihi öneme sahip alanlar için farkındalık geliştirmeye de önem verilmektedir."
Mimarlık Bölümü'ndeki ARCH302 ve ARCH402 derslerinin ana hedefleri ve içerik odakları nelerdir?,"['Course: ARCH302\nDepartment: This course belongs to DEPARTMENT OF ARCHITECTURE.\nObjective: \xa0 The following objectives are common to Arch 301 and 302 studios, which can be given in either of the terms (depending on the organization of studio trips). Acquisition of knowledge, attitudes and skills (*) required to carry out a design project with increased complexity of program, structural system and contextual issues. Specifically:  (Knowledge) Building up of culture and repertoire for the analysis and design of housing with mixed-use schemes, innovative structures and multifunctional public buildings.   (Skills) Improvement of skills in architectural planning, construction and presentation techniques; advanced proficiency in oral, visual and written mediums for communication of design ideas. (Attitudes) Awareness development for the cultural heritage and sites of natural and historical significance; acquaintance with the legal and ethical aspects of working in such contexts.\xa0  \nContent:  Analysis and design of buildings in relation to their urban context and structural form. Term projects include housing settlements, new buildings in historical environments and large span structures, with emphases on programmatic complexity, spatial variety and architectonic expression. ', 'Course: ARCH402\nDepartment: This course belongs to DEPARTMENT OF ARCHITECTURE.\nObjective: The students are expected to make an original contribution to a specified design assignment by adopting multiple approaches to complex architectural and urban design concerns. Students are encouraged to develop a personal position and an increasing autonomy in design work. Demonstration of a high level of creativity and critical skills is necessary in situating and negotiating significantly complex architectural and urban programs at all scales in national and/or international contexts.\xa0 \nContent:  Advanced architectural design involving considerations of contextual and programmatic complexity and appropriate technology. ']","ARCH302 dersi, karmaşık tasarım projeleri için gerekli bilgi, tutum ve becerilerle öğrencileri donatmayı amaçlamaktadır. Bu ders, karma kullanımlı şemalar, yenilikçi yapılar ve çok fonksiyonlu kamu binalarının analizi ve tasarımına odaklanmaktadır. Mimari planlama, inşaat ve sunum tekniklerini vurgularken, tarihi bağlamlarda kültürel miras ve hukuki yönler konusunda farkındalık geliştirmeyi teşvik etmektedir. İçerik, konut yerleşimleri, tarihi ortamlardaki yeni binalar ve büyük açıklıklı yapılarla ilgili projeleri içermekte olup, programatik karmaşıklık ve mekansal çeşitliliği ön plana çıkarmaktadır.

Buna karşılık, ARCH402 dersi, öğrencileri karmaşık mimari ve kentsel tasarım sorunlarına çoklu yaklaşımlar keşfederek tasarım ödevlerine özgün katkılarda bulunmaya teşvik etmektedir. Kişisel bir tasarım pozisyonu ve özerklik geliştirilmesini teşvik ederken, hem ulusal hem de uluslararası bağlamlarda çeşitli ölçeklerde karmaşık programları ele almak için yüksek düzeyde yaratıcılık ve eleştirel beceriler gerektirmektedir. İçerik, bağlamsal ve programatik karmaşıklığı ile uygun teknolojiyi dikkate alarak ileri düzey mimari tasarıma odaklanmaktadır."
"ARCH381 ve ARCH382 dersleri, mimari tasarımda mekanik ve elektrik hizmetlerinin anlaşılmasına, özellikle kültürel mirasın korunması bağlamında nasıl katkıda bulunur?","['Course: ARCH381\nDepartment: This course belongs to DEPARTMENT OF ARCHITECTURE.\nObjective: At the end of the course the students are expected to have the knowledge of;  the mechanical building services that will be a part of their design, how these systems work and function, how these systems effect the architectural design.  The students are expected to gain a capability of having a reasonable dialogue with the mechanical / installations engineers on their designs both in design period and in construction period. \xa0 \nContent:  Creation of basic understanding of issues related to mechanical services in buildings; the requirements related to installation, operation and maintenance of such equipment, technical drawings of such systems, relations with architectural design. Sanitary Services; water supply, storage and distribution, piping, pressurizing, hot water supply, solar heating, waste water systems, fixture and layout planning. HVAC Services; environmental comfort and insulation, heating and cooling loads, heating, ventilating and air conditioning systems, equipment.', 'Course: ARCH382\nDepartment: This course belongs to DEPARTMENT OF ARCHITECTURE.\nObjective: At the end of the course the student is expected to have the knowledge of;  the mechanical and electrical building services that will be a part of his/her design, sustainable building design concepts and green building certificate systems, the behaviour of natural and artificial light in the built environment, the importance of lighting design starting from the concept phase to the application phase the integration of architecture and light which is the basis of “Architectural Lighting”, Students will have knowledge on sound and propagation in indoor and outdoor spaces as well, \xa0fundamentals of architectural acoustics how these systems work and function, how these systems effect the architectural design.  The student is expected to gain a capability of having a reasonable dialogue with the installation engineers on his/her design both in design period and in construction period. \nContent:  Creation of basic understanding of issues related to mechanical and electrical equipment / services in buildings, acoustics and behaviour of natural and artificial light in the built environment; the requirements related to installation, operation and maintenance of such equipment, technical drawings of such systems ']","ARCH381 ve ARCH382 dersleri, mimari tasarım için hayati öneme sahip mekanik ve elektrikli bina hizmetleri hakkında temel bilgiler sunmaktadır. ARCH381, mekanik hizmetlere odaklanarak, sıhhi hizmetler, HVAC sistemleri ve bu sistemlerin mimari tasarımla olan ilişkisi gibi konuları kapsamaktadır. Bu anlayış, kültürel miras koruma uzmanı için çok önemlidir, çünkü modern sistemlerin tarihi yapılarla bütünlüğünü bozmadan entegrasyonu konusunda bilinçli kararlar almayı sağlar. ARCH382, elektrik hizmetlerini, sürdürülebilir tasarım kavramlarını ve inşa edilmiş çevrede aydınlatma ile akustiğin önemini tanıtarak bunu genişletmektedir. Bu bilgi, bir miras alanının karakterini korurken işlevselliğini artırmanın anahtar olduğu uyumlu yeniden kullanım stratejileri için özellikle önemlidir. Bu dersler, öğrencileri mühendislerle anlamlı bir diyalog kurma yeteneği ile donatarak, koruma çabalarının hem geçmişe saygılı hem de çağdaş ihtiyaçlara duyarlı olmasını sağlamaktadır."
ARCH381'de öğretilen binalardaki mekanik hizmetlerin ana bileşenleri nelerdir?,"['Course: ARCH381\nDepartment: This course belongs to DEPARTMENT OF ARCHITECTURE.\nObjective: At the end of the course the students are expected to have the knowledge of;  the mechanical building services that will be a part of their design, how these systems work and function, how these systems effect the architectural design.  The students are expected to gain a capability of having a reasonable dialogue with the mechanical / installations engineers on their designs both in design period and in construction period. \xa0 \nContent:  Creation of basic understanding of issues related to mechanical services in buildings; the requirements related to installation, operation and maintenance of such equipment, technical drawings of such systems, relations with architectural design. Sanitary Services; water supply, storage and distribution, piping, pressurizing, hot water supply, solar heating, waste water systems, fixture and layout planning. HVAC Services; environmental comfort and insulation, heating and cooling loads, heating, ventilating and air conditioning systems, equipment.', 'Course: ARCH438\nDepartment: This course belongs to DEPARTMENT OF ARCHITECTURE.\nObjective: No objective\nContent:  Principles of basic design concepts. Definition of loads (dead, live, wind, snow and earthquake loads). Material characteristics of steel. Behavior of individual elements, tension members, compression members,  beams and columns. Types and behavior of connections, connection design and details. Use of steel in architectural design. Behavior and analysis of large span steel structures. ']","ARCH381'de binalardaki mekanik hizmetlerin ana bileşenleri, mekanik hizmetlerle ilgili sorunlara dair temel bir anlayışın oluşturulması, bu tür ekipmanların kurulum, işletim ve bakım gereksinimleri ve bu sistemlerin teknik çizimleri dahil edilmektedir. Kurs, su temini, depolama, dağıtım, borulama, basınçlandırma, sıcak su temini, güneş enerjisi ile ısıtma ve atık su sistemleri gibi sıhhi hizmetleri, ayrıca armatür ve yerleşim planlamasını kapsamaktadır. Ayrıca, çevresel konfor ve yalıtım, ısıtma ve soğutma yükleri ile ısıtma, havalandırma ve iklimlendirme ile ilgili sistemler ve ekipmanlar üzerinde durarak HVAC hizmetleri ele alınmaktadır."
"ARCH460 ve ARCH466 dersleri, mimaride kültürel mirasın anlaşılmasına ve korunmasına nasıl katkıda bulunur?","[""Course: ARCH460\nDepartment: This course belongs to DEPARTMENT OF ARCHITECTURE.\nObjective: This elective course is offered to Final year Architecture students who would like to design high performance buildings with low environmental impacts. The aim is to use digital tools to aid building\xa0 design that can: - Increase human comfort by using appropriate technologies - Reduce a building's energy load by selecting appropriate building materials. - Reduce the\xa0environmental loads of a building by integrating appropriate energy resources \nContent:  The course objectives are to introduce students to a world-wide range of architectural concepts, focusing on appropriate and affordable solutions, in terms of choice of materials and technologies, to the extensive needs of the underdeveloped, developing and developed world.  The relevance of appropriate technology in certain current global issues, such as sustainability and ecological concerns, will be considered. "", 'Course: ARCH466\nDepartment: This course belongs to DEPARTMENT OF ARCHITECTURE.\nObjective: No objective\nContent:  A basic course of drawing and/or pointing to develop students ability to see, understand and express in visual ait, objects in space. ']","ARCH460 dersi, düşük çevresel etkilere sahip yüksek performanslı binaların tasarımına odaklanmaktadır; bu, kültürel mirasın korunması için kritik öneme sahiptir çünkü tarihi alanları modern ihtiyaçları karşılayacak şekilde sürdürebilecek uygun teknolojilerin ve malzemelerin kullanımını vurgular. Sürdürülebilirlik ve ekolojik kaygıları entegre ederek, öğrenciler koruma ile çağdaş gelişim arasında bir denge kurmayı öğrenirler. Öte yandan, ARCH466 belirli bir amaca sahip olmamakla birlikte, öğrencilerin nesneleri mekanda görme ve ifade etme yeteneklerini geliştirmektedir; bu beceri, kültürel miras alanlarının mekansal niteliklerini anlamak için gereklidir ve koruma ile uyumlu yeniden kullanımına daha incelikli bir yaklaşım sağlar."
"Mimarlık Bölümü'ndeki ARCH460 ve ARCH470 derslerinin ana hedefleri ve içerik odakları nelerdir, özellikle sürdürülebilirlik ve dijital tasarım ile ilgili olarak?","[""Course: ARCH460\nDepartment: This course belongs to DEPARTMENT OF ARCHITECTURE.\nObjective: This elective course is offered to Final year Architecture students who would like to design high performance buildings with low environmental impacts. The aim is to use digital tools to aid building\xa0 design that can: - Increase human comfort by using appropriate technologies - Reduce a building's energy load by selecting appropriate building materials. - Reduce the\xa0environmental loads of a building by integrating appropriate energy resources \nContent:  The course objectives are to introduce students to a world-wide range of architectural concepts, focusing on appropriate and affordable solutions, in terms of choice of materials and technologies, to the extensive needs of the underdeveloped, developing and developed world.  The relevance of appropriate technology in certain current global issues, such as sustainability and ecological concerns, will be considered. "", 'Course: ARCH470\nDepartment: This course belongs to DEPARTMENT OF ARCHITECTURE.\nObjective: At the end of this course, it is first expected that: \xa0 Students will develop basic knowledge in understanding computational design Students will understand new architectural geometries Students will be able to develop parametric design models Students will be able to question digital media as a design medium rather than a medium for representation Students will be familiar with fabrication technologies. \nContent:  A design research studio. Architectural representation medium will be questioned as an architectural thinking environment. A workshop on abstraction and folding techniques in model making. Relation between model making and digital thinking. Emphasizing the different paradigms of digital design. Introducing an high-end software. Designing thematic and conceptual environments to reveal the enriching relation between the digital and tectonic worlds. ']","ARCH460 dersi, son sınıf mimarlık öğrencilerini düşük çevresel etkiye sahip yüksek performanslı binalar tasarlama becerileri ile donatmayı amaçlamaktadır. Bu ders, uygun teknolojiler aracılığıyla insan konforunu artırmak için dijital araçların kullanımına, uygun yapı malzemelerini seçerek enerji yüklerini azaltmaya ve enerji kaynaklarını entegre ederek çevresel etkileri en aza indirmeye odaklanmaktadır. Ders, sürdürülebilirlik ve ekolojik kaygıları ele alarak çeşitli küresel bağlamlar için uygun ve uygun maliyetli mimari çözümler vurgulamaktadır.

Öte yandan, ARCH470 dersi, öğrencilerin hesaplamalı tasarım ve yeni mimari geometriler konusundaki anlayışlarını geliştirmek için tasarlanmıştır. Dersin sonunda, öğrenciler parametrik tasarım modelleri oluşturabilecek ve dijital medyayı bir tasarım aracı olarak eleştirel bir şekilde kullanabilecektir. Ders, model yapım teknikleri üzerine bir atölye içermekte ve dijital düşünme ile fiziksel model yapımı arasındaki ilişkiyi keşfetmekte, mimarlığın dijital ve tektonik yönleri arasındaki etkileşimi vurgulamaktadır."
"ARCH460 ve ARCH463 dersleri, mimarlıkta sürdürülebilir tasarım ve hesaplamalı düşünce anlayışına nasıl katkıda bulunur?","[""Course: ARCH460\nDepartment: This course belongs to DEPARTMENT OF ARCHITECTURE.\nObjective: This elective course is offered to Final year Architecture students who would like to design high performance buildings with low environmental impacts. The aim is to use digital tools to aid building\xa0 design that can: - Increase human comfort by using appropriate technologies - Reduce a building's energy load by selecting appropriate building materials. - Reduce the\xa0environmental loads of a building by integrating appropriate energy resources \nContent:  The course objectives are to introduce students to a world-wide range of architectural concepts, focusing on appropriate and affordable solutions, in terms of choice of materials and technologies, to the extensive needs of the underdeveloped, developing and developed world.  The relevance of appropriate technology in certain current global issues, such as sustainability and ecological concerns, will be considered. "", 'Course: ARCH463\nDepartment: This course belongs to DEPARTMENT OF ARCHITECTURE.\nObjective: No objective\nContent:  A lecture course that focuses on the theory of shape grammars (Stiny and Gips, 1975); seeks to provide a critical perspective to quantitative and symbolic computations, and encourage design students to apply visual and spatial thinking in computation; aims to give basic knowledge of shapes and visual computation. ']","Mimarlık Bölümü tarafından sunulan ARCH460 dersi, düşük çevresel etkilere sahip yüksek performanslı binaların tasarımına odaklanmaktadır. Bu ders, uygun teknolojiler aracılığıyla insan konforunu artırmayı, uygun yapı malzemelerini seçerek enerji yüklerini azaltmayı ve enerji kaynaklarını entegre ederek çevresel etkileri en aza indirmeyi amaçlamaktadır. Bu ders, sürdürülebilirlik ve ekolojik kaygılar gibi küresel sorunları ele alırken uygun teknolojinin önemini vurgulamakta ve kültürel mirasın korunması ile modern gelişimle ilgilenen öğrenciler için son derece ilgili hale getirmektedir. Öte yandan, ARCH463 şekil gramerlerinde teorik bir temel sağlamaktadır ve tasarım öğrencilerini hesaplamada görsel ve mekansal düşünmeyi uygulamaya teşvik etmektedir. Belirlenmiş bir hedefi olmasa da, bu ders nicel ve sembolik hesaplamalar üzerine eleştirel bakış açılarını geliştirmekte ve bu da hem miras koruma hem de yenilikçi mimari uygulamalar bağlamında tasarım süreçlerini anlamak için faydalı olabilir."
"ARCH460 ve ARCH464 dersleri, kentsel ortamlardaki kültürel mirasın anlaşılmasına ve korunmasına nasıl katkıda bulunur?","[""Course: ARCH460\nDepartment: This course belongs to DEPARTMENT OF ARCHITECTURE.\nObjective: This elective course is offered to Final year Architecture students who would like to design high performance buildings with low environmental impacts. The aim is to use digital tools to aid building\xa0 design that can: - Increase human comfort by using appropriate technologies - Reduce a building's energy load by selecting appropriate building materials. - Reduce the\xa0environmental loads of a building by integrating appropriate energy resources \nContent:  The course objectives are to introduce students to a world-wide range of architectural concepts, focusing on appropriate and affordable solutions, in terms of choice of materials and technologies, to the extensive needs of the underdeveloped, developing and developed world.  The relevance of appropriate technology in certain current global issues, such as sustainability and ecological concerns, will be considered. "", 'Course: ARCH464\nDepartment: This course belongs to DEPARTMENT OF ARCHITECTURE.\nObjective: In the past two decades, the subject of urbanism has gone under a revised and fertile interrogation within design culture. This laid the latent capacity of the field to embrace a wide array of issues of the urban milieu bare. This course, dwelling on the interactions between people and urban space through the specific framework of\xa0food, aims to bring emergent forms of critical research and narrative into discussion. Touching upon issues ranging from food’s relationship with urban form and identity to gastronomic traditions, from emergent food cultures to hunger in the digital age, it intends to make room for original, provocative questions and conceptualizations of food-specific urban production.\xa0 To this end, the course exploits videography as a critical means of analysis, synthesis, and narrative. It aims to extend understandings of movement, event, and experience of time in urban space. It also intends to manifest distinctive and radical ways of thinking about food at various operational levels centering on everyday life and practices of urbanites.\xa0 \nContent:  This course, dwelling on the interactions between people and urban space through the specific framework of Food, aims to bring emergent forms of critical research and narrative into discussion. Touching upon issues ranging from food\x92s relationship with urban form and identity to gastronomic traditions, from emergent food cultures to hunger in the digital age, it intends to make room for original provocative questions and conceptualizations of food specific urban production. ']","ARCH460 ve ARCH464 dersleri, sürdürülebilir tasarıma odaklanarak ve kentsel etkileşimleri eleştirerek, kentsel ortamlardaki kültürel mirasın anlaşılması ve korunmasına önemli ölçüde katkıda bulunmaktadır. ARCH460, düşük çevresel etkilere sahip yüksek performanslı binaların tasarımını vurgular; bu, sürdürülebilir uygulamaları ve uygun teknolojileri teşvik ederek kültürel mirası koruma ilkeleriyle uyumludur. Bu ders, öğrencileri çeşitli küresel bağlamların kapsamlı ihtiyaçlarını göz önünde bulundurmaya teşvik ederek, farklı kültürel mirasların ve bunların mimari ifadelerinin takdir edilmesini destekler. Öte yandan, ARCH464, gıda ve kentsel alan arasındaki ilişkiyi keşfeder ve gastronomik geleneklerin ve ortaya çıkan gıda kültürlerinin kentsel kimlikleri nasıl şekillendirdiğini ele alır. Bu etkileşimleri inceleyerek, ders, kültürel uygulamaların kentsel ortamları nasıl etkilediğine dair daha derin bir anlayış geliştirmeyi teşvik eder; böylece kültürel mirasın gündelik yaşam ve topluluk uygulamaları perspektifinden değerlenmesini destekler. Bu dersler birlikte, öğrencilere kültürel mirası onurlandıran ve koruyan bilinçli karar verme ve uyumlu yeniden kullanım stratejileri geliştirmek için gerekli bilgi ve araçları sağlar."
"ARCH460 ve ARCH490 dersleri, kültürel miras alanlarını korurken modern çevresel kaygıları da ele almada nasıl yardımcı olabilir ve benim gibi kültürel mirası korumaya odaklanmış birisi için faydalı olabilecek hangi özel beceri veya bilgileri sağlar?","[""Course: ARCH460\nDepartment: This course belongs to DEPARTMENT OF ARCHITECTURE.\nObjective: This elective course is offered to Final year Architecture students who would like to design high performance buildings with low environmental impacts. The aim is to use digital tools to aid building\xa0 design that can: - Increase human comfort by using appropriate technologies - Reduce a building's energy load by selecting appropriate building materials. - Reduce the\xa0environmental loads of a building by integrating appropriate energy resources \nContent:  The course objectives are to introduce students to a world-wide range of architectural concepts, focusing on appropriate and affordable solutions, in terms of choice of materials and technologies, to the extensive needs of the underdeveloped, developing and developed world.  The relevance of appropriate technology in certain current global issues, such as sustainability and ecological concerns, will be considered. "", 'Course: ARCH490\nDepartment: This course belongs to DEPARTMENT OF ARCHITECTURE.\nObjective: This course covers the methods, basic principles, and practical issues of heritage place interpretation and presentation. The major objectives of the course are to provide knowledge and skills on:  general aspects of heritage place interpretation and presentation methods, basic principles, and practical issues of heritage place interpretation and presentation different methods, techniques, media and technologies for interpreting and presenting heritage places how to create stories and narratives about heritage places by, for, and with a broader public new and innovative ways of interpreting and presenting heritage places  \nContent:  This course is intended as an introduction to the methods, basic principles, and practical issues of heritage place interpretation and presentation, which is connecting people to heritage places. It is primarily a communication process that helps people make sense of, and understand more about the significance of heritage places to ensure their conservation. The primary objective of this course is to familiarise students with the full range of activities through which the significance of heritage places is communicated to a broader public. ']","ARCH460 ve ARCH490 dersleri, kültürel miras koruma üzerine odaklanan biri için gerekli olan değerli içgörüler ve beceriler sunmaktadır. ARCH460, düşük çevresel etkilere sahip yüksek performanslı binalar tasarlamaya vurgu yapar; bu, miras alanlarının sürdürülebilir bir şekilde korunmasını sağlamak için kritik öneme sahiptir. Öğrencilere, uygun malzeme ve teknolojiler aracılığıyla insan konforunu artırmayı ve enerji yüklerini azaltmayı hedefleyen bina tasarımını geliştirmek için dijital araçlar kullanmayı öğretir. Bu, miras alanlarını bütünlüklerini tehlikeye atmadan modern standartlara uyarlama ihtiyacıyla örtüşmektedir.

Diğer yandan, ARCH490, kültürel mirasa bağlanmak için hayati öneme sahip olan miras alanlarının yorumlanması ve sunumuna odaklanmaktadır. Miras alanlarının önemini etkili bir şekilde iletmek için yöntemler ve ilkeler kapsamaktadır; bu, değerlerinin kamu tarafından anlaşılmasını ve takdir edilmesini sağlamaktadır. Bu ders, öğrencilere miras alanlarını yorumlamak için hikayeler oluşturma ve çeşitli medya ve teknolojileri kullanma becerileri kazandırır; bu da daha geniş bir kitleyi çekmek ve bir sahiplenme duygusu geliştirmek için gereklidir.

Birlikte, bu dersler kültürel mirasın korunması ve bugünün acil çevresel sorunlarıyla başa çıkmak için kapsamlı bir temel sunmaktadır."
Dijital araçları mimarlıkta kültürel miras alanlarında nasıl kullanabiliriz?,"[""Course: ARCH460\nDepartment: This course belongs to DEPARTMENT OF ARCHITECTURE.\nObjective: This elective course is offered to Final year Architecture students who would like to design high performance buildings with low environmental impacts. The aim is to use digital tools to aid building\xa0 design that can: - Increase human comfort by using appropriate technologies - Reduce a building's energy load by selecting appropriate building materials. - Reduce the\xa0environmental loads of a building by integrating appropriate energy resources \nContent:  The course objectives are to introduce students to a world-wide range of architectural concepts, focusing on appropriate and affordable solutions, in terms of choice of materials and technologies, to the extensive needs of the underdeveloped, developing and developed world.  The relevance of appropriate technology in certain current global issues, such as sustainability and ecological concerns, will be considered. "", 'Course: ARCH461\nDepartment: This course belongs to DEPARTMENT OF ARCHITECTURE.\nObjective: No objective\nContent:  An introduction to computer basics. Both theory and practice of operating systems, word-processors, spread-sheets and data-base programs are covered to provide an understanding of state-of-art of the computer technology. ']","ARCH460 dersinde, düşük çevresel etkilere sahip yüksek performanslı binaların tasarımına odaklanılmaktadır; bu, kültürel miras alanları için faydalı olabilir. Dijital araçlar kullanarak, mimarlar uygun teknolojiler aracılığıyla insan konforunu artırabilir, uygun yapı malzemelerini seçerek enerji yüklerini azaltabilir ve çevresel etkileri en aza indiren enerji kaynaklarını entegre edebilir. Bu yaklaşım, bilgilendirilmiş karar verme ve uyumlu yeniden kullanım stratejileri aracılığıyla kültürel mirası koruma ve değerleme hedefiyle uyumludur."
ARCH460 ve ARCH467 tasarım ve çevre hakkında ne öğretir?,"[""Course: ARCH460\nDepartment: This course belongs to DEPARTMENT OF ARCHITECTURE.\nObjective: This elective course is offered to Final year Architecture students who would like to design high performance buildings with low environmental impacts. The aim is to use digital tools to aid building\xa0 design that can: - Increase human comfort by using appropriate technologies - Reduce a building's energy load by selecting appropriate building materials. - Reduce the\xa0environmental loads of a building by integrating appropriate energy resources \nContent:  The course objectives are to introduce students to a world-wide range of architectural concepts, focusing on appropriate and affordable solutions, in terms of choice of materials and technologies, to the extensive needs of the underdeveloped, developing and developed world.  The relevance of appropriate technology in certain current global issues, such as sustainability and ecological concerns, will be considered. "", 'Course: ARCH467\nDepartment: This course belongs to DEPARTMENT OF ARCHITECTURE.\nObjective: This course asks students to step back from the acts of designing and judging their designs and to explore some ideas that can lead to a stronger intellectual base for these actions. The course will focus on the process of design, on formal methods of decision making and on methods to systematically improve design.\xa0 \nContent:  The course focuses on definitions of design and different methods to define and solve design problems. An overview of quantitative methods, such as decision theory and optimization; qualitative methods, such as decision trees and pattern languages are discussed. Methods that help in finding creative solutions, such as brainstorming and synectics are covered. ']","ARCH460, düşük çevresel etkilere sahip yüksek performanslı binaların tasarımı ile ilgilidir ve insan konforunu artırmak ve uygun malzeme ve teknolojilerle enerji yüklerini azaltmak için dijital araçların kullanılmasına odaklanmaktadır. Sürdürülebilirlik ve çeşitli küresel bağlamlarla ilgili ekolojik endişeleri vurgular. Öte yandan, ARCH467, öğrencileri tasarım süreçlerini ve karar verme yöntemlerini keşfetmeye teşvik eder; tasarımı sistematik olarak iyileştirmek için hem nicel hem de niteliksel yaklaşımları kapsar. Beyin fırtınası ve yaratıcı çözüm bulma tekniklerini içerir."
